DATE,BALANCE
2019-05-16,19610.340000000037
2019-05-17,18100.810000000034
2019-05-18,20857.890000000036
2019-05-19,20857.890000000036
2019-05-20,20857.890000000036
2019-05-21,22881.300000000036
2019-05-22,22421.500000000036
2019-05-23,22171.500000000036
2019-05-24,28399.560000000038
2019-05-25,42561.56000000004
2019-05-26,42561.56000000004
2019-05-27,42561.56000000004
2019-05-28,56263.05000000003
2019-05-29,51068.05000000003
2019-05-30,50868.05000000003
2019-05-31,45868.05000000003
2019-06-01,43629.570000000036
2019-06-02,43629.570000000036
2019-06-03,43629.570000000036
2019-06-04,34975.210000000036
2019-06-05,34352.310000000034
2019-06-06,34209.51000000004
2019-06-07,34057.01000000004
2019-06-08,34333.01000000004
2019-06-09,34333.01000000004
2019-06-10,34333.01000000004
2019-06-11,34227.01000000004
2019-06-12,34246.41000000003
2019-06-13,37065.87000000004
2019-06-14,36709.04000000004
2019-06-15,35841.04000000004
2019-06-16,35841.04000000004
2019-06-17,35841.04000000004
2019-06-18,36715.26000000004
2019-06-19,36483.40000000004
2019-06-20,37356.40000000004
2019-06-21,37356.40000000004
2019-06-22,37199.280000000035
2019-06-23,37199.280000000035
2019-06-24,37199.280000000035
2019-06-25,45530.710000000036
2019-06-26,42241.710000000036
2019-06-27,42020.12000000003
2019-06-28,42020.12000000003
2019-06-29,40922.84000000003
2019-06-30,40922.84000000003
2019-07-01,40922.84000000003
2019-07-02,35886.16000000003
2019-07-03,33711.16000000003
2019-07-04,33711.16000000003
2019-07-05,33617.76000000003
2019-07-06,33451.600000000035
2019-07-07,33451.600000000035
2019-07-08,33451.600000000035
2019-07-09,32398.850000000035
2019-07-10,32398.850000000035
2019-07-11,32398.850000000035
2019-07-12,32413.100000000035
2019-07-13,32683.100000000035
2019-07-14,32683.100000000035
2019-07-15,32683.100000000035
2019-07-16,32326.270000000033
2019-07-17,31684.740000000034
2019-07-18,31834.740000000034
2019-07-19,31737.710000000036
2019-07-20,31560.610000000033
2019-07-21,31560.610000000033
2019-07-22,31560.610000000033
2019-07-23,30470.600000000035
2019-07-24,30470.600000000035
2019-07-25,35259.73000000003
2019-07-26,32246.960000000032
2019-07-27,32546.960000000032
2019-07-28,32546.960000000032
2019-07-29,32546.960000000032
2019-07-30,30546.960000000032
2019-07-31,27517.480000000032
2019-08-01,26688.570000000032
2019-08-02,21287.130000000034
2019-08-03,21002.540000000034
2019-08-04,21002.540000000034
2019-08-05,21002.540000000034
2019-08-06,20698.250000000033
2019-08-07,20397.87000000003
2019-08-08,18938.78000000003
2019-08-09,17938.78000000003
2019-08-10,19440.28000000003
2019-08-11,19440.28000000003
2019-08-12,19440.28000000003
2019-08-13,19463.800000000032
2019-08-14,20106.97000000003
2019-08-15,20652.680000000033
2019-08-16,20652.680000000033
2019-08-17,18335.820000000032
2019-08-18,18335.820000000032
2019-08-19,18335.820000000032
2019-08-20,18335.820000000032
2019-08-21,18335.820000000032
2019-08-22,19563.65000000003
2019-08-23,24288.270000000033
2019-08-24,24288.270000000033
2019-08-25,24288.270000000033
2019-08-26,24288.270000000033
2019-08-27,24622.090000000033
2019-08-28,21622.090000000033
2019-08-29,20122.090000000033
2019-08-30,20072.090000000033
2019-08-31,17911.770000000033
2019-09-01,17911.770000000033
2019-09-02,17911.770000000033
2019-09-03,17911.770000000033
2019-09-04,17911.770000000033
2019-09-05,17911.770000000033
2019-09-06,17911.770000000033
2019-09-07,17911.770000000033
2019-09-08,17911.770000000033
2019-09-09,17911.770000000033
2019-09-10,17970.770000000033
2019-09-11,17970.770000000033
2019-09-12,17970.770000000033
2019-09-13,17970.770000000033
2019-09-14,17970.770000000033
2019-09-15,17970.770000000033
2019-09-16,17970.770000000033
2019-09-17,17970.770000000033
2019-09-18,17970.770000000033
2019-09-19,17970.770000000033
2019-09-20,17970.770000000033
2019-09-21,17970.770000000033
2019-09-22,17970.770000000033
2019-09-23,17970.770000000033
2019-09-24,17970.770000000033
2019-09-25,17970.770000000033
2019-09-26,17970.770000000033
2019-09-27,17970.770000000033
2019-09-28,17970.770000000033
2019-09-29,17970.770000000033
2019-09-30,17970.770000000033
2019-10-01,17970.770000000033
2019-10-02,17970.770000000033
2019-10-03,17970.770000000033
2019-10-04,17970.770000000033
2019-10-05,17970.770000000033
2019-10-06,17970.770000000033
2019-10-07,17970.770000000033
2019-10-08,17970.770000000033
2019-10-09,17970.770000000033
2019-10-10,47738.77000000003
2019-10-11,46961.15000000004
2019-10-12,46961.15000000004
2019-10-13,46961.15000000004
2019-10-14,46577.820000000036
2019-10-15,46486.41000000003
2019-10-16,46486.41000000003
2019-10-17,45692.630000000034
2019-10-18,45511.08000000003
2019-10-19,45661.08000000003
2019-10-20,45661.08000000003
2019-10-21,45661.08000000003
2019-10-22,45577.570000000036
2019-10-23,45207.570000000036
2019-10-24,45750.77000000003
2019-10-25,45450.77000000003
2019-10-26,50529.55000000003
2019-10-27,50529.55000000003
2019-10-28,50529.55000000003
2019-10-29,50406.48000000004
2019-10-30,50406.48000000004
2019-10-31,50406.48000000004
2019-11-01,45535.37000000004
2019-11-02,45819.36000000004
2019-11-03,45819.36000000004
2019-11-04,45819.36000000004
2019-11-05,41805.02000000003
2019-11-06,41381.02000000003
2019-11-07,41073.47000000004
2019-11-08,43243.04000000004
2019-11-09,43243.04000000004
2019-11-10,43243.04000000004
2019-11-11,43271.65000000004
2019-11-12,63271.65000000004
2019-11-13,65729.19000000003
2019-11-14,45372.36000000003
2019-11-15,47649.310000000034
2019-11-16,47639.79000000004
2019-11-17,46998.26000000004
2019-11-18,46998.26000000004
2019-11-19,46998.26000000004
2019-11-20,46998.26000000004
2019-11-21,46990.26000000004
2019-11-22,46990.26000000004
2019-11-23,47140.26000000004
2019-11-24,47140.26000000004
2019-11-25,47140.26000000004
2019-11-26,51432.41000000003
2019-11-27,51432.41000000003
2019-11-28,51422.41000000003
2019-11-29,51422.41000000003
2019-11-30,49655.23000000004
2019-12-01,48835.320000000036
2019-12-02,48835.320000000036
2019-12-03,45179.34000000004
2019-12-04,45060.34000000004
2019-12-05,41588.34000000004
2019-12-06,41020.59000000004
2019-12-07,41020.59000000004
2019-12-08,41020.59000000004
2019-12-09,41020.59000000004
2019-12-10,41020.59000000004
2019-12-11,38510.140000000036
2019-12-12,38510.140000000036
2019-12-13,38435.140000000036
2019-12-14,38213.310000000034
2019-12-15,38213.310000000034
2019-12-16,38213.310000000034
2019-12-17,73954.81000000006
2019-12-18,73528.49000000005
2019-12-19,50514.99000000005
2019-12-20,50514.99000000005
2019-12-21,60924.87000000005
2019-12-22,60724.87000000005
2019-12-23,60724.87000000005
2019-12-24,40452.79000000005
2019-12-25,40039.04000000005
2019-12-26,40039.04000000005
2019-12-27,40168.04000000005
2019-12-28,37792.40000000005
2019-12-29,37792.40000000005
2019-12-30,37792.40000000005
2019-12-31,27768.49000000005
2020-01-01,25782.950000000048
2020-01-02,25782.950000000048
2020-01-03,21904.55000000005
2020-01-04,23418.05000000005
2020-01-05,23418.05000000005
2020-01-06,23418.05000000005
2020-01-07,23418.05000000005
2020-01-08,22286.64000000005
2020-01-09,22286.64000000005
2020-01-10,22256.64000000005
2020-01-11,22231.64000000005
2020-01-12,22231.64000000005
2020-01-13,22231.64000000005
2020-01-14,22087.55000000005
2020-01-15,22087.55000000005
2020-01-16,21830.71000000005
2020-01-17,54032.64000000005
2020-01-18,44032.64000000005
2020-01-19,44032.64000000005
2020-01-20,44032.64000000005
2020-01-21,43721.11000000005
2020-01-22,43221.11000000005
2020-01-23,43482.32000000005
2020-01-24,46134.78000000005
2020-01-25,46134.78000000005
2020-01-26,46134.78000000005
2020-01-27,46134.78000000005
2020-01-28,45869.78000000005
2020-01-29,45869.78000000005
2020-01-30,46069.78000000005
2020-01-31,46219.78000000005
2020-02-01,39209.51000000005
2020-02-02,39209.51000000005
2020-02-03,39209.51000000005
2020-02-04,40247.89000000005
2020-02-05,39775.89000000005
2020-02-06,39656.89000000005
2020-02-07,39656.89000000005
2020-02-08,38916.480000000054
2020-02-09,38916.480000000054
2020-02-10,38916.480000000054
2020-02-11,38531.840000000055
2020-02-12,38531.840000000055
2020-02-13,37612.52000000005
2020-02-14,69074.92000000006
2020-02-15,69436.71000000005
2020-02-16,69436.71000000005
2020-02-17,69436.71000000005
2020-02-18,58651.61000000006
2020-02-19,58651.61000000006
2020-02-20,58651.61000000006
2020-02-21,58651.61000000006
2020-02-22,58651.61000000006
2020-02-23,58651.61000000006
2020-02-24,58651.61000000006
2020-02-25,60126.72000000006
2020-02-26,60126.72000000006
2020-02-27,60123.07000000005
2020-02-28,60123.07000000005
2020-03-01,59480.30000000006
2020-03-02,59480.30000000006
2020-03-03,53768.55000000006
2020-03-04,53548.55000000006
2020-03-05,52957.55000000006
2020-03-06,49585.14000000006
2020-03-07,50483.14000000006
2020-03-08,50483.14000000006
2020-03-09,50483.14000000006
2020-03-10,44764.88000000006
2020-03-11,43594.88000000006
2020-03-12,43594.88000000006
2020-03-13,38868.80000000006
2020-03-14,34659.97000000006
2020-03-15,34659.97000000006
2020-03-16,34659.97000000006
2020-03-17,25943.75000000006
2020-03-18,25374.60000000006
